n:1 mse_avg:1.90 mse_y:3.39 mse_u:0.39 mse_v:0.44 psnr_avg:45.33 psnr_y:42.83 psnr_u:52.24 psnr_v:51.65 
n:2 mse_avg:2.55 mse_y:4.57 mse_u:0.49 mse_v:0.56 psnr_avg:44.07 psnr_y:41.53 psnr_u:51.22 psnr_v:50.62 
n:3 mse_avg:2.64 mse_y:4.73 mse_u:0.51 mse_v:0.60 psnr_avg:43.92 psnr_y:41.39 psnr_u:51.08 psnr_v:50.37 
n:4 mse_avg:2.78 mse_y:4.97 mse_u:0.56 mse_v:0.63 psnr_avg:43.69 psnr_y:41.17 psnr_u:50.67 psnr_v:50.14 
n:5 mse_avg:2.41 mse_y:4.27 mse_u:0.50 mse_v:0.58 psnr_avg:44.32 psnr_y:41.82 psnr_u:51.13 psnr_v:50.49 
n:6 mse_avg:2.97 mse_y:5.29 mse_u:0.61 mse_v:0.69 psnr_avg:43.41 psnr_y:40.90 psnr_u:50.28 psnr_v:49.71 
n:7 mse_avg:3.00 mse_y:5.35 mse_u:0.59 mse_v:0.70 psnr_avg:43.36 psnr_y:40.85 psnr_u:50.40 psnr_v:49.69 
n:8 mse_avg:3.10 mse_y:5.55 mse_u:0.61 mse_v:0.70 psnr_avg:43.21 psnr_y:40.69 psnr_u:50.29 psnr_v:49.65 
n:9 mse_avg:2.71 mse_y:4.81 mse_u:0.56 mse_v:0.66 psnr_avg:43.80 psnr_y:41.31 psnr_u:50.63 psnr_v:49.94 
n:10 mse_avg:3.22 mse_y:5.77 mse_u:0.63 mse_v:0.74 psnr_avg:43.05 psnr_y:40.52 psnr_u:50.13 psnr_v:49.47 
n:11 mse_avg:3.47 mse_y:6.23 mse_u:0.66 mse_v:0.78 psnr_avg:42.72 psnr_y:40.19 psnr_u:49.93 psnr_v:49.19 
n:12 mse_avg:3.50 mse_y:6.21 mse_u:0.72 mse_v:0.85 psnr_avg:42.70 psnr_y:40.20 psnr_u:49.57 psnr_v:48.83 
n:13 mse_avg:3.74 mse_y:6.64 mse_u:0.78 mse_v:0.91 psnr_avg:42.40 psnr_y:39.91 psnr_u:49.21 psnr_v:48.56 
n:14 mse_avg:3.57 mse_y:6.32 mse_u:0.77 mse_v:0.89 psnr_avg:42.60 psnr_y:40.12 psnr_u:49.29 psnr_v:48.61 
n:15 mse_avg:3.94 mse_y:7.00 mse_u:0.81 mse_v:0.94 psnr_avg:42.18 psnr_y:39.68 psnr_u:49.05 psnr_v:48.40 
n:16 mse_avg:3.81 mse_y:6.75 mse_u:0.80 mse_v:0.94 psnr_avg:42.32 psnr_y:39.84 psnr_u:49.12 psnr_v:48.42 
n:17 mse_avg:4.12 mse_y:7.32 mse_u:0.86 mse_v:1.00 psnr_avg:41.98 psnr_y:39.49 psnr_u:48.79 psnr_v:48.14 
n:18 mse_avg:3.86 mse_y:6.84 mse_u:0.83 mse_v:0.96 psnr_avg:42.26 psnr_y:39.78 psnr_u:48.94 psnr_v:48.31 
n:19 mse_avg:4.09 mse_y:7.25 mse_u:0.87 mse_v:1.01 psnr_avg:42.01 psnr_y:39.53 psnr_u:48.75 psnr_v:48.07 
n:20 mse_avg:3.80 mse_y:6.72 mse_u:0.83 mse_v:0.94 psnr_avg:42.33 psnr_y:39.86 psnr_u:48.95 psnr_v:48.40 
n:21 mse_avg:4.08 mse_y:7.24 mse_u:0.86 mse_v:0.99 psnr_avg:42.02 psnr_y:39.54 psnr_u:48.77 psnr_v:48.16 
n:22 mse_avg:3.72 mse_y:6.56 mse_u:0.81 mse_v:0.94 psnr_avg:42.43 psnr_y:39.96 psnr_u:49.07 psnr_v:48.42 
