n:1 mse_avg:181.74 mse_y:358.90 mse_u:3.58 mse_v:5.56 psnr_avg:25.54 psnr_y:22.58 psnr_u:42.59 psnr_v:40.68 
n:2 mse_avg:3.63 mse_y:6.50 mse_u:0.69 mse_v:0.83 psnr_avg:42.53 psnr_y:40.00 psnr_u:49.73 psnr_v:48.93 
n:3 mse_avg:3.59 mse_y:6.41 mse_u:0.71 mse_v:0.85 psnr_avg:42.58 psnr_y:40.07 psnr_u:49.62 psnr_v:48.84 
n:4 mse_avg:3.27 mse_y:5.80 mse_u:0.67 mse_v:0.79 psnr_avg:42.99 psnr_y:40.49 psnr_u:49.90 psnr_v:49.18 
n:5 mse_avg:3.11 mse_y:5.51 mse_u:0.64 mse_v:0.77 psnr_avg:43.20 psnr_y:40.72 psnr_u:50.05 psnr_v:49.24 
n:6 mse_avg:3.36 mse_y:5.95 mse_u:0.71 mse_v:0.82 psnr_avg:42.87 psnr_y:40.38 psnr_u:49.60 psnr_v:48.97 
n:7 mse_avg:3.69 mse_y:6.58 mse_u:0.73 mse_v:0.86 psnr_avg:42.46 psnr_y:39.95 psnr_u:49.49 psnr_v:48.79 
n:8 mse_avg:4.04 mse_y:7.22 mse_u:0.79 mse_v:0.93 psnr_avg:42.07 psnr_y:39.55 psnr_u:49.16 psnr_v:48.45 
n:9 mse_avg:245.50 mse_y:485.28 mse_u:4.44 mse_v:7.00 psnr_avg:24.23 psnr_y:21.27 psnr_u:41.66 psnr_v:39.68 
n:10 mse_avg:4.33 mse_y:7.76 mse_u:0.84 mse_v:0.99 psnr_avg:41.76 psnr_y:39.23 psnr_u:48.91 psnr_v:48.17 
n:11 mse_avg:4.31 mse_y:7.70 mse_u:0.83 mse_v:1.00 psnr_avg:41.79 psnr_y:39.26 psnr_u:48.93 psnr_v:48.15 
n:12 mse_avg:3.90 mse_y:6.94 mse_u:0.79 mse_v:0.93 psnr_avg:42.22 psnr_y:39.72 psnr_u:49.16 psnr_v:48.46 
n:13 mse_avg:4.14 mse_y:7.39 mse_u:0.82 mse_v:0.96 psnr_avg:41.96 psnr_y:39.45 psnr_u:49.01 psnr_v:48.31 
n:14 mse_avg:3.84 mse_y:6.81 mse_u:0.81 mse_v:0.94 psnr_avg:42.28 psnr_y:39.80 psnr_u:49.02 psnr_v:48.38 
n:15 mse_avg:4.27 mse_y:7.59 mse_u:0.86 mse_v:1.03 psnr_avg:41.83 psnr_y:39.33 psnr_u:48.77 psnr_v:48.01 
n:16 mse_avg:3.96 mse_y:7.02 mse_u:0.83 mse_v:0.98 psnr_avg:42.15 psnr_y:39.67 psnr_u:48.96 psnr_v:48.22 
n:17 mse_avg:4.33 mse_y:7.68 mse_u:0.90 mse_v:1.06 psnr_avg:41.77 psnr_y:39.27 psnr_u:48.60 psnr_v:47.90 
n:18 mse_avg:3.94 mse_y:6.96 mse_u:0.84 mse_v:0.99 psnr_avg:42.18 psnr_y:39.70 psnr_u:48.87 psnr_v:48.18 
n:19 mse_avg:4.22 mse_y:7.46 mse_u:0.89 mse_v:1.05 psnr_avg:41.88 psnr_y:39.40 psnr_u:48.66 psnr_v:47.92 
