n:1 mse_avg:8219.50 mse_y:16196.43 mse_u:352.49 mse_v:132.66 psnr_avg:8.98 psnr_y:6.04 psnr_u:22.66 psnr_v:26.90 
n:2 mse_avg:8139.58 mse_y:16035.38 mse_u:355.41 mse_v:132.13 psnr_avg:9.02 psnr_y:6.08 psnr_u:22.62 psnr_v:26.92 
n:3 mse_avg:7456.29 mse_y:14685.13 mse_u:336.05 mse_v:118.87 psnr_avg:9.41 psnr_y:6.46 psnr_u:22.87 psnr_v:27.38 
n:4 mse_avg:462.17 mse_y:871.61 mse_u:49.24 mse_v:56.20 psnr_avg:21.48 psnr_y:18.73 psnr_u:31.21 psnr_v:30.63 
n:5 mse_avg:419.08 mse_y:786.91 mse_u:48.89 mse_v:53.63 psnr_avg:21.91 psnr_y:19.17 psnr_u:31.24 psnr_v:30.84 
n:6 mse_avg:529.46 mse_y:1002.05 mse_u:53.33 mse_v:60.43 psnr_avg:20.89 psnr_y:18.12 psnr_u:30.86 psnr_v:30.32 
n:7 mse_avg:541.24 mse_y:1023.24 mse_u:54.91 mse_v:63.59 psnr_avg:20.80 psnr_y:18.03 psnr_u:30.73 psnr_v:30.10 
n:8 mse_avg:549.53 mse_y:1040.55 mse_u:53.90 mse_v:63.14 psnr_avg:20.73 psnr_y:17.96 psnr_u:30.82 psnr_v:30.13 
n:9 mse_avg:599.99 mse_y:1139.29 mse_u:56.49 mse_v:64.89 psnr_avg:20.35 psnr_y:17.56 psnr_u:30.61 psnr_v:30.01 
n:10 mse_avg:571.76 mse_y:1081.01 mse_u:57.62 mse_v:67.40 psnr_avg:20.56 psnr_y:17.79 psnr_u:30.53 psnr_v:29.84 
n:11 mse_avg:431.13 mse_y:800.03 mse_u:59.64 mse_v:64.84 psnr_avg:21.78 psnr_y:19.10 psnr_u:30.38 psnr_v:30.01 
n:12 mse_avg:508.42 mse_y:948.19 mse_u:65.31 mse_v:72.00 psnr_avg:21.07 psnr_y:18.36 psnr_u:29.98 psnr_v:29.56 
n:13 mse_avg:507.90 mse_y:945.23 mse_u:66.43 mse_v:74.72 psnr_avg:21.07 psnr_y:18.38 psnr_u:29.91 psnr_v:29.40 
n:14 mse_avg:494.09 mse_y:918.99 mse_u:65.63 mse_v:72.73 psnr_avg:21.19 psnr_y:18.50 psnr_u:29.96 psnr_v:29.51 
n:15 mse_avg:490.87 mse_y:915.09 mse_u:64.11 mse_v:69.17 psnr_avg:21.22 psnr_y:18.52 psnr_u:30.06 psnr_v:29.73 
n:16 mse_avg:498.80 mse_y:931.45 mse_u:63.11 mse_v:69.21 psnr_avg:21.15 psnr_y:18.44 psnr_u:30.13 psnr_v:29.73 
n:17 mse_avg:399.62 mse_y:738.15 mse_u:60.03 mse_v:62.16 psnr_avg:22.11 psnr_y:19.45 psnr_u:30.35 psnr_v:30.20 
n:18 mse_avg:398.61 mse_y:736.15 mse_u:60.50 mse_v:61.66 psnr_avg:22.13 psnr_y:19.46 psnr_u:30.31 psnr_v:30.23 
n:19 mse_avg:375.30 mse_y:690.54 mse_u:60.34 mse_v:59.78 psnr_avg:22.39 psnr_y:19.74 psnr_u:30.32 psnr_v:30.36 
n:20 mse_avg:490.71 mse_y:914.97 mse_u:63.05 mse_v:69.86 psnr_avg:21.22 psnr_y:18.52 psnr_u:30.13 psnr_v:29.69 
n:21 mse_avg:535.67 mse_y:1003.24 mse_u:65.86 mse_v:70.32 psnr_avg:20.84 psnr_y:18.12 psnr_u:29.94 psnr_v:29.66 
n:22 mse_avg:557.19 mse_y:1046.70 mse_u:64.07 mse_v:71.28 psnr_avg:20.67 psnr_y:17.93 psnr_u:30.06 psnr_v:29.60 
n:23 mse_avg:473.58 mse_y:883.13 mse_u:62.98 mse_v:65.07 psnr_avg:21.38 psnr_y:18.67 psnr_u:30.14 psnr_v:30.00 
n:24 mse_avg:563.28 mse_y:1059.44 mse_u:65.30 mse_v:68.96 psnr_avg:20.62 psnr_y:17.88 psnr_u:29.98 psnr_v:29.75 
n:25 mse_avg:558.50 mse_y:1050.69 mse_u:64.49 mse_v:68.15 psnr_avg:20.66 psnr_y:17.92 psnr_u:30.04 psnr_v:29.80 
n:26 mse_avg:559.23 mse_y:1051.42 mse_u:64.62 mse_v:69.44 psnr_avg:20.65 psnr_y:17.91 psnr_u:30.03 psnr_v:29.71 
n:27 mse_avg:563.69 mse_y:1058.21 mse_u:66.78 mse_v:71.59 psnr_avg:20.62 psnr_y:17.89 psnr_u:29.88 psnr_v:29.58 
n:28 mse_avg:565.59 mse_y:1060.31 mse_u:67.50 mse_v:74.24 psnr_avg:20.61 psnr_y:17.88 psnr_u:29.84 psnr_v:29.42 
n:29 mse_avg:540.95 mse_y:1010.09 mse_u:67.68 mse_v:75.96 psnr_avg:20.80 psnr_y:18.09 psnr_u:29.83 psnr_v:29.33 
n:30 mse_avg:540.72 mse_y:1009.66 mse_u:67.68 mse_v:75.85 psnr_avg:20.80 psnr_y:18.09 psnr_u:29.83 psnr_v:29.33 
n:31 mse_avg:442.61 mse_y:818.88 mse_u:64.51 mse_v:68.18 psnr_avg:21.67 psnr_y:19.00 psnr_u:30.03 psnr_v:29.79 
n:32 mse_avg:472.41 mse_y:877.57 mse_u:64.91 mse_v:69.58 psnr_avg:21.39 psnr_y:18.70 psnr_u:30.01 psnr_v:29.71 
n:33 mse_avg:581.08 mse_y:1090.06 mse_u:67.59 mse_v:76.62 psnr_avg:20.49 psnr_y:17.76 psnr_u:29.83 psnr_v:29.29 
n:34 mse_avg:504.94 mse_y:940.60 mse_u:65.69 mse_v:72.87 psnr_avg:21.10 psnr_y:18.40 psnr_u:29.96 psnr_v:29.51 
n:35 mse_avg:486.40 mse_y:902.26 mse_u:67.44 mse_v:73.65 psnr_avg:21.26 psnr_y:18.58 psnr_u:29.84 psnr_v:29.46 
n:36 mse_avg:573.64 mse_y:1071.59 mse_u:72.32 mse_v:79.06 psnr_avg:20.54 psnr_y:17.83 psnr_u:29.54 psnr_v:29.15 
n:37 mse_avg:567.53 mse_y:1058.40 mse_u:71.82 mse_v:81.50 psnr_avg:20.59 psnr_y:17.88 psnr_u:29.57 psnr_v:29.02 
n:38 mse_avg:561.89 mse_y:1045.95 mse_u:74.46 mse_v:81.18 psnr_avg:20.63 psnr_y:17.94 psnr_u:29.41 psnr_v:29.04 
n:39 mse_avg:577.35 mse_y:1076.25 mse_u:74.40 mse_v:82.51 psnr_avg:20.52 psnr_y:17.81 psnr_u:29.41 psnr_v:28.97 
n:40 mse_avg:591.20 mse_y:1104.21 mse_u:75.18 mse_v:81.21 psnr_avg:20.41 psnr_y:17.70 psnr_u:29.37 psnr_v:29.03 
n:41 mse_avg:496.00 mse_y:917.65 mse_u:73.44 mse_v:75.28 psnr_avg:21.18 psnr_y:18.50 psnr_u:29.47 psnr_v:29.36 
n:42 mse_avg:588.61 mse_y:1099.07 mse_u:76.97 mse_v:79.34 psnr_avg:20.43 psnr_y:17.72 psnr_u:29.27 psnr_v:29.14 
n:43 mse_avg:566.96 mse_y:1056.47 mse_u:76.04 mse_v:78.85 psnr_avg:20.60 psnr_y:17.89 psnr_u:29.32 psnr_v:29.16 
n:44 mse_avg:517.54 mse_y:958.60 mse_u:75.75 mse_v:77.23 psnr_avg:20.99 psnr_y:18.31 psnr_u:29.34 psnr_v:29.25 
n:45 mse_avg:521.02 mse_y:965.26 mse_u:75.77 mse_v:77.77 psnr_avg:20.96 psnr_y:18.28 psnr_u:29.34 psnr_v:29.22 
n:46 mse_avg:450.11 mse_y:827.30 mse_u:73.35 mse_v:72.48 psnr_avg:21.60 psnr_y:18.95 psnr_u:29.48 psnr_v:29.53 
n:47 mse_avg:486.21 mse_y:897.15 mse_u:75.46 mse_v:75.08 psnr_avg:21.26 psnr_y:18.60 psnr_u:29.35 psnr_v:29.38 
n:48 mse_avg:598.47 mse_y:1116.71 mse_u:79.24 mse_v:81.23 psnr_avg:20.36 psnr_y:17.65 psnr_u:29.14 psnr_v:29.03 
n:49 mse_avg:611.39 mse_y:1141.32 mse_u:78.70 mse_v:84.23 psnr_avg:20.27 psnr_y:17.56 psnr_u:29.17 psnr_v:28.88 
n:50 mse_avg:601.76 mse_y:1120.23 mse_u:82.28 mse_v:84.29 psnr_avg:20.34 psnr_y:17.64 psnr_u:28.98 psnr_v:28.87 
n:51 mse_avg:591.61 mse_y:1099.48 mse_u:83.35 mse_v:84.12 psnr_avg:20.41 psnr_y:17.72 psnr_u:28.92 psnr_v:28.88 
n:52 mse_avg:563.44 mse_y:1043.00 mse_u:85.16 mse_v:82.59 psnr_avg:20.62 psnr_y:17.95 psnr_u:28.83 psnr_v:28.96 
n:53 mse_avg:467.13 mse_y:852.91 mse_u:83.94 mse_v:78.79 psnr_avg:21.44 psnr_y:18.82 psnr_u:28.89 psnr_v:29.17 
