n:1 mse_avg:8221.70 mse_y:16200.85 mse_u:352.50 mse_v:132.60 psnr_avg:8.98 psnr_y:6.04 psnr_u:22.66 psnr_v:26.91 
n:2 mse_avg:8132.90 mse_y:16021.89 mse_u:356.22 mse_v:131.60 psnr_avg:9.03 psnr_y:6.08 psnr_u:22.61 psnr_v:26.94 
n:3 mse_avg:7441.64 mse_y:14655.60 mse_u:337.23 mse_v:118.12 psnr_avg:9.41 psnr_y:6.47 psnr_u:22.85 psnr_v:27.41 
n:4 mse_avg:379.39 mse_y:711.22 mse_u:45.45 mse_v:49.65 psnr_avg:22.34 psnr_y:19.61 psnr_u:31.56 psnr_v:31.17 
n:5 mse_avg:419.17 mse_y:787.10 mse_u:48.69 mse_v:53.78 psnr_avg:21.91 psnr_y:19.17 psnr_u:31.26 psnr_v:30.82 
n:6 mse_avg:529.87 mse_y:1002.86 mse_u:53.50 mse_v:60.29 psnr_avg:20.89 psnr_y:18.12 psnr_u:30.85 psnr_v:30.33 
n:7 mse_avg:541.62 mse_y:1023.97 mse_u:55.39 mse_v:63.16 psnr_avg:20.79 psnr_y:18.03 psnr_u:30.70 psnr_v:30.13 
n:8 mse_avg:550.56 mse_y:1042.74 mse_u:54.71 mse_v:62.07 psnr_avg:20.72 psnr_y:17.95 psnr_u:30.75 psnr_v:30.20 
n:9 mse_avg:601.38 mse_y:1142.14 mse_u:55.93 mse_v:65.29 psnr_avg:20.34 psnr_y:17.55 psnr_u:30.65 psnr_v:29.98 
n:10 mse_avg:488.46 mse_y:920.03 mse_u:54.24 mse_v:59.54 psnr_avg:21.24 psnr_y:18.49 psnr_u:30.79 psnr_v:30.38 
n:11 mse_avg:430.71 mse_y:799.27 mse_u:60.16 mse_v:64.12 psnr_avg:21.79 psnr_y:19.10 psnr_u:30.34 psnr_v:30.06 
n:12 mse_avg:509.08 mse_y:949.55 mse_u:65.70 mse_v:71.52 psnr_avg:21.06 psnr_y:18.36 psnr_u:29.96 psnr_v:29.59 
n:13 mse_avg:509.12 mse_y:947.60 mse_u:65.46 mse_v:75.84 psnr_avg:21.06 psnr_y:18.36 psnr_u:29.97 psnr_v:29.33 
n:14 mse_avg:494.15 mse_y:918.98 mse_u:66.33 mse_v:72.32 psnr_avg:21.19 psnr_y:18.50 psnr_u:29.91 psnr_v:29.54 
n:15 mse_avg:399.05 mse_y:735.53 mse_u:61.47 mse_v:63.66 psnr_avg:22.12 psnr_y:19.46 psnr_u:30.24 psnr_v:30.09 
