025-04-03 09:45:33,397 - app.ui.tabs.options_tab - INFO - Populated VMAF model dropdown with 3 models
2025-04-03 09:45:33,401 - app.ui.tabs.options_tab - INFO - Looking for VMAF models in: C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/models
2025-04-03 09:45:33,402 - app.ui.tabs.options_tab - INFO - Populated VMAF model dropdown with 9 models
2025-04-03 09:45:33,403 - app.options_manager - INFO - Settings saved to C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\config\settings.json
2025-04-03 09:45:33,403 - app.ui.theme_manager - INFO - Applied theme: Light
2025-04-03 09:45:33,499 - app.options_manager - INFO - Found DeckLink devices: ['Intensity Shuttle']
2025-04-03 09:45:33,500 - app.ui.tabs.options_tab - INFO - Settings loaded successfully
2025-04-03 09:45:33,502 - app.ui.theme_manager - INFO - Applied theme: Light
2025-04-03 09:45:33,506 - app.ui.tabs.setup_tab - INFO - Found 2 reference videos
2025-04-03 09:45:33,507 - app.ui.main_window - INFO - VMAF Test App initialized
2025-04-03 09:45:33,788 - app.reference_analyzer - INFO - White bookend frame detected at frame 0
2025-04-03 09:45:33,804 - app.capture - INFO - Reference video set: Dance01.mp4, duration: 7.29s, resolution: 1920x1080
2025-04-03 09:45:52,001 - app.options_manager - INFO - Getting formats for device: Intensity Shuttle
2025-04-03 09:45:52,240 - app.options_manager - INFO - Getting formats using dshow: ffmpeg -hide_banner -f dshow -list_options true -i video=Decklink Video Capture
2025-04-03 09:45:52,622 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0] DirectShow video device options (from video devices)
2025-04-03 09:45:52,622 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]  Pin "Capture" (alternative pin name "1")
2025-04-03 09:45:52,622 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=720x486 fps=29.97 max s=720x486 fps=29.97
2025-04-03 09:45:52,622 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=720x486 fps=23.976 max s=720x486 fps=23.976
2025-04-03 09:45:52,622 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=720x576 fps=25 max s=720x576 fps=25
2025-04-03 09:45:52,622 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=720x486 fps=59.9402 max s=720x486 fps=59.9402
2025-04-03 09:45:52,622 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=720x576 fps=50 max s=720x576 fps=50
2025-04-03 09:45:52,622 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=1920x1080 fps=23.976 max s=1920x1080 fps=23.976
2025-04-03 09:45:52,624 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=1920x1080 fps=24 max s=1920x1080 fps=24
2025-04-03 09:45:52,624 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=1920x1080 fps=25 max s=1920x1080 fps=25
2025-04-03 09:45:52,624 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=1920x1080 fps=29.97 max s=1920x1080 fps=29.97
2025-04-03 09:45:52,624 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=1920x1080 fps=30 max s=1920x1080 fps=30
2025-04-03 09:45:52,624 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=1280x720 fps=50 max s=1280x720 fps=50
2025-04-03 09:45:52,624 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=1280x720 fps=59.9402 max s=1280x720 fps=59.9402
2025-04-03 09:45:52,625 - app.options_manager - INFO - Format line: [dshow @ 00000226ff3784c0]   pixel_format=uyvy422  min s=1280x720 fps=60.0002 max s=1280x720 fps=60.0002
2025-04-03 09:45:52,625 - app.options_manager - INFO - Found formats via dshow: 13 formats
2025-04-03 09:45:52,625 - app.options_manager - INFO - Found 13 formats for device Intensity Shuttle
