Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,1.000001,1.000007,1.000000,1.000001,1.000000,0.000000,0.000000,0.999998,0.999996,0.999995,0.999995,97.427686,
1,1.000001,1.000007,1.000000,1.000001,1.000000,8.957578,8.957578,0.999998,0.999997,0.999995,0.999995,100.000000,
2,1.000001,1.000006,1.000000,1.000001,1.000000,10.652220,10.652220,0.999999,0.999997,0.999996,0.999995,100.000000,
3,1.000001,1.000006,1.000000,1.000001,1.000000,11.933655,11.933655,0.999999,0.999997,0.999996,0.999995,100.000000,
4,1.000001,1.000007,1.000000,1.000001,1.000000,13.085697,13.484575,0.999999,0.999997,0.999996,0.999996,100.000000,
5,1.000001,1.000006,1.000000,1.000001,1.000000,12.908943,13.085697,0.999999,0.999997,0.999996,0.999996,100.000000,
6,1.000001,1.000006,1.000000,1.000001,1.000000,11.575456,12.908943,0.999999,0.999997,0.999996,0.999996,100.000000,
7,1.000001,1.000006,1.000000,1.000001,1.000001,11.575456,11.575456,0.999999,0.999997,0.999996,0.999996,100.000000,
8,1.000001,1.000006,1.000000,1.000001,1.000000,11.663626,12.145027,0.999999,0.999997,0.999996,0.999996,100.000000,
9,1.000001,1.000006,1.000000,1.000001,1.000000,11.477799,11.663626,0.999999,0.999997,0.999996,0.999995,100.000000,
10,1.000001,1.000006,1.000000,1.000001,1.000000,11.477799,11.477799,0.999999,0.999997,0.999995,0.999995,100.000000,
11,1.000001,1.000006,1.000000,1.000000,1.000000,11.246083,11.498636,0.999998,0.999997,0.999995,0.999995,100.000000,
12,1.000001,1.000007,1.000000,1.000001,1.000000,10.655993,11.246083,0.999999,0.999997,0.999996,0.999995,100.000000,
13,1.000001,1.000006,1.000000,1.000001,1.000000,10.412229,10.655993,0.999999,0.999997,0.999996,0.999995,100.000000,
14,1.000001,1.000006,1.000000,1.000001,1.000000,10.412229,10.412229,0.999999,0.999997,0.999996,0.999996,100.000000,
15,1.000001,1.000006,1.000000,1.000001,1.000000,11.116941,11.116941,0.999999,0.999997,0.999996,0.999996,100.000000,
16,1.000001,1.000006,1.000000,1.000001,1.000000,11.958643,11.958643,0.999999,0.999997,0.999996,0.999996,100.000000,
17,1.000001,1.000006,1.000000,1.000001,1.000000,12.337089,12.562362,0.999999,0.999997,0.999996,0.999996,100.000000,
18,1.000001,1.000006,1.000000,1.000001,1.000001,12.068322,12.337089,0.999999,0.999997,0.999996,0.999996,100.000000,
19,1.000001,1.000006,1.000000,1.000001,1.000001,12.068322,12.068322,0.999998,0.999997,0.999996,0.999996,100.000000,
20,1.000001,1.000006,1.000000,1.000001,1.000001,12.676930,12.676930,0.999999,0.999997,0.999996,0.999996,100.000000,
21,1.000001,1.000006,1.000000,1.000001,1.000000,12.293347,12.857391,0.999998,0.999997,0.999996,0.999996,100.000000,
22,1.000001,1.000006,1.000000,1.000001,1.000000,11.245629,12.293347,0.999998,0.999997,0.999996,0.999996,100.000000,
23,1.000001,1.000006,1.000000,1.000001,1.000000,11.245629,11.245629,0.999999,0.999997,0.999996,0.999996,100.000000,
24,1.000001,1.000007,1.000000,1.000001,1.000000,11.453180,11.453180,0.999999,0.999997,0.999996,0.999996,100.000000,
25,1.000001,1.000006,1.000000,1.000001,1.000001,11.901243,11.901243,0.999999,0.999997,0.999996,0.999996,100.000000,
26,1.000001,1.000006,1.000000,1.000001,1.000000,12.465513,12.465513,0.999999,0.999997,0.999996,0.999996,100.000000,
27,1.000001,1.000006,1.000000,1.000001,1.000000,11.559055,12.471125,0.999998,0.999997,0.999996,0.999996,100.000000,
28,1.000001,1.000006,1.000000,1.000000,1.000000,11.559055,11.559055,0.999998,0.999997,0.999996,0.999996,100.000000,
29,1.000001,1.000006,1.000000,1.000001,1.000000,12.012397,12.012397,0.999998,0.999997,0.999996,0.999996,100.000000,
30,1.000001,1.000006,1.000000,1.000001,1.000000,13.267873,13.278067,0.999998,0.999997,0.999996,0.999996,100.000000,
31,1.000001,1.000006,1.000000,1.000001,1.000000,13.267873,13.267873,0.999998,0.999997,0.999996,0.999996,100.000000,
32,1.000001,1.000006,1.000000,1.000001,1.000001,13.327638,13.584245,0.999998,0.999997,0.999996,0.999996,100.000000,
33,1.000001,1.000006,1.000000,1.000001,1.000000,12.285609,13.327638,0.999998,0.999997,0.999996,0.999996,100.000000,
34,1.000001,1.000006,1.000000,1.000001,1.000000,10.821021,12.285609,0.999998,0.999997,0.999997,0.999997,100.000000,
35,1.000001,1.000006,1.000000,1.000001,1.000000,10.821021,10.821021,0.999998,0.999997,0.999997,0.999997,100.000000,
36,1.000001,1.000007,1.000000,1.000000,1.000000,10.890225,10.890225,0.999998,0.999997,0.999997,0.999997,100.000000,
37,1.000001,1.000006,1.000000,1.000001,1.000001,11.593893,11.593893,0.999998,0.999997,0.999997,0.999997,100.000000,
38,1.000001,1.000006,1.000000,1.000001,1.000000,12.240621,12.240621,0.999998,0.999997,0.999997,0.999997,100.000000,
39,1.000001,1.000006,1.000000,1.000001,1.000001,12.090807,12.332422,0.999998,0.999997,0.999997,0.999997,100.000000,
40,1.000001,1.000006,1.000000,1.000001,1.000000,11.925158,12.090807,0.999998,0.999997,0.999997,0.999997,100.000000,
41,1.000001,1.000006,1.000000,1.000001,1.000000,11.756791,11.925158,0.999998,0.999997,0.999997,0.999997,100.000000,
42,1.000001,1.000006,1.000000,1.000001,1.000000,11.248329,11.756791,0.999998,0.999997,0.999997,0.999997,100.000000,
43,1.000001,1.000006,1.000000,1.000001,1.000000,11.248329,11.248329,0.999998,0.999997,0.999997,0.999997,100.000000,
44,1.000001,1.000006,1.000000,1.000001,1.000000,11.353402,11.353402,0.999998,0.999997,0.999997,0.999997,100.000000,
45,1.000001,1.000006,1.000000,1.000001,1.000000,13.486990,13.486990,0.999998,0.999997,0.999997,0.999997,100.000000,
46,1.000001,1.000006,1.000000,1.000001,1.000000,15.106504,15.106504,0.999998,0.999997,0.999997,0.999997,100.000000,
47,1.000001,1.000006,1.000000,1.000001,1.000000,15.266808,15.689484,0.999998,0.999997,0.999997,0.999997,100.000000,
48,1.000001,1.000007,1.000000,1.000001,1.000000,15.059362,15.266808,0.999998,0.999997,0.999997,0.999997,100.000000,
49,1.000001,1.000006,1.000000,1.000001,1.000000,13.001718,15.059362,0.999998,0.999997,0.999997,0.999997,100.000000,
